side effect	catagory	catagory name
congenital heart disease	C14	cardiovascular diseases
congenital heart disease	C16	congenital, hereditary, and neonatal diseases and abnormalities
hyperprolactinaemia	C10	nervous system diseases
hyperprolactinaemia	C19	endocrine system diseases
ketoacidosis	C18	nutritional and metabolic diseases
sarcoidosis	C15	hemic and lymphatic diseases
hyperpigmentation	C17	skin and connective tissue diseases
agoraphobia	F	mental discorders
optic neuritis	C10	nervous system diseases
optic neuritis	C11	eye diseases
eye injury	C10	nervous system diseases
eye injury	C11	eye diseases
eye injury	C26	wounds and injuries
scotoma	C10	nervous system diseases
scotoma	C11	eye diseases
scotoma	C23	pathological conditions, signs and symptoms
eczema	C17	skin and connective tissue diseases
erysipelas	C01	infections
erysipelas	C17	skin and connective tissue diseases
hepatorenal syndrome	C06	digestive system diseases
hepatorenal syndrome	C12	male urogenital diseases
hepatorenal syndrome	C13	female urogenital diseases and pregnancy complications
hepatitis c	C01	infections
hepatitis c	C06	digestive system diseases
eye infection	C01	infections
eye infection	C11	eye diseases
ebv infection	C01	infections
agranulocytoses	C15	hemic and lymphatic diseases
pyoderma gangrenosum	C17	skin and connective tissue diseases
hydrocephalus	C10	nervous system diseases
acne	C17	skin and connective tissue diseases
malignant hypertension	C14	cardiovascular diseases
labyrinthitis	C09	otorhinolaryngologic diseases
tracheitis	C01	infections
tracheitis	C08	respiratory tract diseases
vitamin d deficiency	C18	nutritional and metabolic diseases
hyperuricaemia	C23	pathological conditions, signs and symptoms
parotitis	C07	stomatognathic diseases
pericarditis	C14	cardiovascular diseases
paronychia	C01	infections
paronychia	C17	skin and connective tissue diseases
thyroid disease	C19	endocrine system diseases
aortic aneurysm	C14	cardiovascular diseases
dermatomyositis	C05	musculoskeletal diseases
dermatomyositis	C10	nervous system diseases
dermatomyositis	C17	skin and connective tissue diseases
hyperaesthesia	C10	nervous system diseases
hyperaesthesia	C23	pathological conditions, signs and symptoms
bronchiectasis	C08	respiratory tract diseases
aplasia pure red cell	C15	hemic and lymphatic diseases
birth defect	C16	congenital, hereditary, and neonatal diseases and abnormalities
polymyalgia rheumatica	C05	musculoskeletal diseases
polymyalgia rheumatica	C17	skin and connective tissue diseases
diaphragmatic hernia	C23	pathological conditions, signs and symptoms
lymphedema	C15	hemic and lymphatic diseases
temporal arteritis	C10	nervous system diseases
temporal arteritis	C14	cardiovascular diseases
temporal arteritis	C17	skin and connective tissue diseases
temporal arteritis	C20	immune system diseases
polyarthritis	C05	musculoskeletal diseases
inflammatory bowel disease	C06	digestive system diseases
tendon injury	C26	wounds and injuries
hiccough	C23	pathological conditions, signs and symptoms
serum sickness	C17	skin and connective tissue diseases
serum sickness	C20	immune system diseases
serum sickness	C25	chemically-induced disorders
synovial cyst	C04	neoplasms
ovarian cancer	C04	neoplasms
ovarian cancer	C13	female urogenital diseases and pregnancy complications
ovarian cancer	C19	endocrine system diseases
gastric cancer	C04	neoplasms
gastric cancer	C06	digestive system diseases
varicose vein	C14	cardiovascular diseases
aphthous stomatitis	C07	stomatognathic diseases
volvulus	C06	digestive system diseases
volvulus	C23	pathological conditions, signs and symptoms
vaginal discharge	C13	female urogenital diseases and pregnancy complications
left ventricular hypertrophy	C14	cardiovascular diseases
left ventricular hypertrophy	C23	pathological conditions, signs and symptoms
anosmia	C10	nervous system diseases
anosmia	C23	pathological conditions, signs and symptoms
haemangioma	C04	neoplasms
incisional hernia	C23	pathological conditions, signs and symptoms
splenic infarction	C14	cardiovascular diseases
splenic infarction	C15	hemic and lymphatic diseases
splenic infarction	C23	pathological conditions, signs and symptoms
meningioma	C04	neoplasms
meningioma	C10	nervous system diseases
hepatic encephalopathy	C06	digestive system diseases
hepatic encephalopathy	C10	nervous system diseases
hepatic encephalopathy	C18	nutritional and metabolic diseases
vitamin b 12 deficiency	C18	nutritional and metabolic diseases
paraplegia	C10	nervous system diseases
paraplegia	C23	pathological conditions, signs and symptoms
aseptic meningitis	C10	nervous system diseases
alcoholic intoxication	C25	chemically-induced disorders
causalgia	C10	nervous system diseases
bradyarrhythmia	C14	cardiovascular diseases
bradyarrhythmia	C23	pathological conditions, signs and symptoms
conversion disorder	F	mental discorders
epidural abscess	C01	infections
epidural abscess	C10	nervous system diseases
hay fever	C08	respiratory tract diseases
hay fever	C09	otorhinolaryngologic diseases
hay fever	C20	immune system diseases
myasthenia gravis	C04	neoplasms
myasthenia gravis	C10	nervous system diseases
myasthenia gravis	C20	immune system diseases
fibroids	C04	neoplasms
bladder cancer	C04	neoplasms
bladder cancer	C12	male urogenital diseases
bladder cancer	C13	female urogenital diseases and pregnancy complications
histoplasmosis	C01	infections
ganglion	C04	neoplasms
ganglion	C17	skin and connective tissue diseases
sjogrens syndrome	C05	musculoskeletal diseases
sjogrens syndrome	C07	stomatognathic diseases
sjogrens syndrome	C11	eye diseases
sjogrens syndrome	C17	skin and connective tissue diseases
sjogrens syndrome	C20	immune system diseases
venous insufficiency	C14	cardiovascular diseases
tension headache	C10	nervous system diseases
pigmentation disorder	C17	skin and connective tissue diseases
pigmentation disorder	C23	pathological conditions, signs and symptoms
keratitis	C11	eye diseases
diabetes insipidus	C12	male urogenital diseases
diabetes insipidus	C13	female urogenital diseases and pregnancy complications
diabetes insipidus	C19	endocrine system diseases
folliculitis	C17	skin and connective tissue diseases
empyema	C01	infections
empyema	C23	pathological conditions, signs and symptoms
esophageal cancer	C04	neoplasms
esophageal cancer	C06	digestive system diseases
neurogenic bladder	C10	nervous system diseases
neurogenic bladder	C12	male urogenital diseases
neurogenic bladder	C13	female urogenital diseases and pregnancy complications
neurogenic bladder	C23	pathological conditions, signs and symptoms
uterine bleeding	C13	female urogenital diseases and pregnancy complications
uterine bleeding	C23	pathological conditions, signs and symptoms
hyperacusia	C09	otorhinolaryngologic diseases
hyperacusia	C10	nervous system diseases
hyperacusia	C23	pathological conditions, signs and symptoms
enterocolitis	C06	digestive system diseases
cryptococcosis	C01	infections
chronic hepatitis	C06	digestive system diseases
food intolerance	C23	pathological conditions, signs and symptoms
cluster headache	C10	nervous system diseases
connective tissue disease	C17	skin and connective tissue diseases
anisocoria	C10	nervous system diseases
anisocoria	C11	eye diseases
anisocoria	C23	pathological conditions, signs and symptoms
pancreatic pseudocyst	C04	neoplasms
pancreatic pseudocyst	C06	digestive system diseases
hyperphosphatemia	C18	nutritional and metabolic diseases
status epilepticus	C10	nervous system diseases
status epilepticus	C23	pathological conditions, signs and symptoms
sacroiliitis	C05	musculoskeletal diseases
pyuria	C01	infections
pyuria	C12	male urogenital diseases
pyuria	C13	female urogenital diseases and pregnancy complications
breast inflammation	C13	female urogenital diseases and pregnancy complications
breast inflammation	C17	skin and connective tissue diseases
mumps	C01	infections
mumps	C07	stomatognathic diseases
tinea pedis	C01	infections
tinea pedis	C17	skin and connective tissue diseases
tinea pedis	C23	pathological conditions, signs and symptoms
hypogonadism	C19	endocrine system diseases
esophageal stenosis	C06	digestive system diseases
corneal abrasion	C10	nervous system diseases
corneal abrasion	C11	eye diseases
corneal abrasion	C26	wounds and injuries
bunion	C05	musculoskeletal diseases
asthenopia	C11	eye diseases
